Tonight,tonight,0.12,0.48
a,a,0.69,0.7999999999999999
story,story,0.8,1.21
by,by,1.21,1.46
Frederik,,,
Pohl,<unk>,1.48,2.17
Tunnel,tunnel,3.19,3.69
Under,under,3.74,4.04
the,the,4.04,4.17
World,world,4.18,4.5
On,on,13.0,13.22
the,the,13.219999,13.309999
morning,morning,13.309999,13.719999
of,of,13.759999,13.989999
June,june,13.99,14.29
fifteenth,fifteenth,14.469999,14.949999
Guy,guy,15.54,15.88
Burckhardt,<unk>,15.889999,16.109999
woke,woke,16.929999,17.059998999999998
up,up,17.23,17.39
screaming,screaming,17.830000000000002,18.47
It,it,20.91,20.93
was,was,22.42,22.66
more,more,22.66,23.02
real,real,23.02,23.45
than,than,23.45,23.6
any,any,23.6,23.82
dream,dream,23.82,24.24
he,he,24.25,24.35
had,had,24.45,24.48
ever,ever,24.48,24.68
had,had,24.68,24.93
in,in,24.93,25.03
his,his,25.03,25.18
life,life,25.18,25.47
He,he,26.27,26.4
could,could,26.4,26.58
still,still,26.58,26.97
hear,hear,26.97,27.34
and,and,27.34,27.54
feel,feel,27.54,27.97
that,that,27.969999,28.169999
sharp,sharp,28.179999,28.579999
metal,metal,28.630000000000003,29.24
ripping,ripping,29.24,29.62
explosion,explosion,29.62,30.42
that,that,30.7,30.88
searing,searing,31.059999,31.649999
wave,wave,31.66,32.12
of,of,32.12,32.239999999999995
heat,heat,32.24,32.47
He,he,33.339999,33.469999
sat,sat,33.469999,33.729999
up,up,33.730000000000004,33.99
Mary,mary,34.209999,34.50999899999999
Mary,mary,35.41,35.79
Mary,mary,36.82,37.18
where,where,37.81,37.97
are,are,37.97,38.13
you,you,38.13,38.15
Guy,guy,38.32,38.34
what's,what's,39.39,39.7
wrong,wrong,40.01,40.27
You're,you're,40.28,40.56
trembling,trembling,40.6,40.7
Where,where,41.19,41.35
were,were,41.35,41.52
you,you,41.52,41.73
In,,,
the,the,41.95,42.040000000000006
kitchen,kitchen,42.04,42.41
cooking,cooking,42.41,42.71
breakfast,breakfast,42.71,43.16
What,what,43.16,43.29
is,is,43.29,43.46
it,it,43.46,43.7
I,i,44.65,44.66
don’t,,,
know,know,44.67,44.99
a,a,44.99,45.06
dream,dream,45.059999,45.409999
I,i,45.41,45.48
guess,guess,45.48,45.75000000000001
an,an,46.16,46.3
explosion,explosion,46.3,47.05
Did,did,47.23,47.39
you,you,47.389999,47.519999000000006
say,say,47.52,47.7
an,an,47.7,47.78
explosion,explosion,47.78,48.45
Yes,yes,48.67,49.190000000000005
But,but,49.73,49.88
that's,that's,49.88,50.1
the,the,50.099999,50.199999
dream,dream,50.2,50.510000000000005
I,i,50.509999,50.599999
had,had,50.71,51.08
What,what,51.73,52.05
I,i,52.459999,52.609999
dreamed,dreamed,52.629999,52.899999
there,there,52.9,52.95
was,was,52.949999,53.099999
a,a,53.1,53.14
big,big,53.139999,53.369999
explosion,explosion,53.369999,54.009999
and,and,54.010000000000005,54.34
then,then,54.34,54.5
something,something,54.5,54.88
sort,sort,54.88,55.07
of,of,55.07,55.21
hit,hit,55.3,55.53
me,me,55.53,55.7
on,on,55.7,55.82
the,the,55.82,55.9
head,head,55.9,56.39
Holy,holy,57.24,57.53
smokes,smokes,57.53,57.97
maybe,maybe,57.97,58.12
maybe,maybe,59.17,59.36
there,there,59.36,59.47
really,really,59.47,59.7
was,was,59.7,60.010000000000005
some,some,60.02,60.23
sort,sort,60.23,60.42
of,of,60.42,60.53
explosion,explosion,60.53,61.17
that,that,61.18,61.21
started,started,61.24,61.66
this,this,61.66,61.78
dreaming,dreaming,61.78,62.16
Well,well,62.96,63.17
there,there,63.179999,63.339999
will,will,63.34,63.39
be,be,63.389999,63.519999000000006
an,an,63.52,63.61
explosion,explosion,63.61,64.17999999999999
down,down,64.179999,64.36999899999999
at,at,64.37,64.48
your,your,64.48,64.63000000000001
office,office,64.63,64.96
if,if,64.96000000000001,65.06
you,you,65.059999,65.139999
don't,don't,65.139999,65.349999
hurry,hurry,65.349999,65.629999
and,and,65.63,65.75999999999999
get,get,65.759999,65.939999
to,to,65.94,66.07
work,work,66.07,66.47
Coming,coming,78.56,78.74
in,in,78.91,79.17
on,on,79.19,79.33
the,the,79.33,79.42999999999999
bus,bus,79.43,80.02000000000001
Burckhardt,<unk>,80.09,80.59
watched,watched,80.62,80.96000000000001
to,to,80.98,81.10000000000001
see,see,81.099999,81.389999
if,if,81.389999,81.549999
there,there,81.55,81.71
was,was,81.71000000000001,81.96000000000001
any,any,82.03999999999999,82.28999999999999
evidence,evidence,82.28999999999999,82.8
of,of,82.8,82.92999999999999
an,an,82.94,83.02
explosion,explosion,83.02,83.78999999999999
There,there,84.429999,84.569999
wasn't,wasn't,84.57,84.80999999999999
If,if,85.679999,85.819999
anything,anything,85.82,86.27
the,the,86.28,86.36
town,town,86.36,86.67
looked,looked,86.67,86.93
better,better,87.0,87.3
than,than,87.299999,87.429999
ever,ever,87.429999,87.77999899999999
The,the,88.33,88.48
only,only,88.48,88.7
thing,thing,88.69999899999999,88.94999899999999
that,that,88.94999899999999,89.099999
seemed,seemed,89.1,89.55
strange,strange,89.559999,90.279999
to,to,90.279999,90.419999
him,him,90.42,90.71
was,was,91.15,91.32
the,the,91.33,91.41
fact,fact,91.41,91.63
that,that,91.62,91.79
none,none,91.79,91.96
of,of,91.96,92.1
the,the,92.1,92.23
usual,usual,92.24,92.84
crowd,crowd,92.86,93.3
was,was,93.31,93.52
on,on,93.52,93.7
the,the,93.7,93.8
bus,bus,93.8,94.28
He,he,95.29,95.41
was,was,95.41,95.54
a,a,95.54,95.58
little,little,95.58,95.72
relieved,relieved,95.73,96.31
when,when,96.31,96.42
his,his,96.42,96.56
old,old,96.56,96.86
pal,pal,96.9,97.39
Henry,henry,97.4,97.78
Swanson,swanson,97.78,98.38
finally,finally,98.42,98.81
got,got,98.809999,99.009999
on,on,99.01,99.26
Excuse,excuse,101.04,101.32
me,me,101.32,101.51
